HUC12,MEAN1992,MEAN1993,MEAN1994,MEAN1995,MEAN1996,MEAN1997,MEAN1998,MEAN1999,MEAN2000,MEAN2001,MEAN2002,MEAN2003,MEAN2004,MEAN2005,MEAN2006,MEAN2007,MEAN2008,MEAN2009,MEAN2010,MEAN2011,MEAN2012,MEAN2013,MEAN2014,MEAN2015
20402070401,1346.180371,6321.934018,9281.749332,3706.952271,8103.569978,1034.498317,948.2901001,1465.539252,1408.067145,1034.498317,874.151054,944.5544161,1269.559255,1975.604364,1289.674474,2338.253418,1408.067145,1091.970424,1293.12288,862.081914,603.4573445,919.5540531,2701.190025,20747.43601
20402070402,1939.688919,9884.607162,14512.40184,5795.974312,12670.2693,1617.481209,1482.691082,2291.431675,2201.571632,1617.481209,1366.771584,1476.850181,1985.008784,3088.939713,2016.459761,3655.956599,2201.571632,1707.341256,2021.851471,1347.90098,943.5306937,1437.761073,4223.423114,32439.48065
20402070403,1924.949082,11891.55779,17458.97052,6972.777178,15242.81514,1945.891325,1783.73368,2756.679312,2648.574277,1945.891325,1644.278124,1776.70686,2388.04096,3716.11179,2425.877664,4398.254635,2648.574277,2053.996372,2432.364092,1621.57607,1135.103253,1729.681161,5080.938395,39025.92716
20402070404,1693.477425,8427.545859,12373.17077,4941.606528,10802.58167,1379.053002,1264.131893,1953.65837,1877.044343,1379.053002,1165.29976,1259.15199,1692.404403,2633.608083,1719.219276,3117.042654,1877.044343,1455.667045,1723.816209,1149.210812,804.4475659,1225.824867,3600.860584,27657.6709
20402070405,1071.009854,4399.625011,6459.449991,2579.780166,5639.51935,719.9386554,659.9437511,1019.913077,979.9164982,719.9386554,608.3481488,657.3439757,883.5246667,1374.882807,897.5234602,1627.261248,979.9164982,759.9352346,899.9233115,599.9488682,419.9642107,639.9454672,1879.83981,14438.76799
20402070406,587.7912109,2252.189014,3306.623242,1320.601758,2886.896826,368.540033,337.8283508,522.0983643,501.6239258,368.540033,311.4163208,336.4975159,452.2804871,703.8090698,459.4465393,833.0027954,501.6239258,389.0144714,460.6750366,307.116687,214.9816803,327.5911316,962.2989624,7391.274121
20402070501,1464.748041,6543.673497,9607.303215,3836.972232,8387.799666,1070.782959,981.5510208,1516.942491,1457.454573,1070.782959,904.8115749,977.6843093,1314.088574,2044.897949,1334.909323,2420.266784,1457.454573,1130.270877,1338.47868,892.319115,624.6233853,951.8070674,2795.933253,21475.14457
20402070502,1709.96596,7599.222676,11157.04141,4455.907884,9740.821827,1243.509183,1139.8834,1761.637974,1692.554164,1243.509183,1050.765226,1135.392952,1526.062047,2374.757045,1550.241331,2810.67601,1692.554164,1312.592998,1554.386445,1036.257636,725.3803537,1105.341498,3246.940619,24939.26483
20402070503,2636.247525,12453.28021,18283.68112,7302.15076,15962.84115,2037.809524,1867.992039,2886.896777,2773.685181,2037.809524,1721.949001,1860.633293,2500.845035,3891.65001,2540.469017,4606.015316,2773.685181,2151.021138,2547.261852,1698.174579,1188.722212,1811.386242,5320.947075,40869.39783
20402070504,805.8444847,3442.370201,5054.025772,2018.480737,4412.492712,563.2969613,516.3555283,798.0040045,766.7097406,563.2969613,475.9859217,514.3214067,691.2905005,1075.740693,702.2434916,1273.207525,766.7097406,594.5912252,704.121195,469.4141235,328.5898854,500.7083964,1470.830936,11297.23199
20402070505,1312.878283,6355.013848,9330.316611,3726.349079,8145.972395,1039.911383,953.2520851,1473.207754,1415.434925,1039.911383,878.7250941,949.4968553,1276.202305,1985.941815,1296.422754,2350.48844,1415.434925,1097.684223,1299.889189,866.5928025,606.6149626,924.3656623,2715.324136,20855.99821
20402070506,603.6885452,2927.845721,4298.610229,1716.782291,3752.965881,479.1020447,439.176857,678.7278763,652.1111053,479.1020447,404.8412193,437.446772,587.9646332,914.9517944,597.2805038,1082.903638,652.1111053,505.7188156,598.8775513,399.2516945,279.4761848,425.8684715,1250.988657,9608.656372
20402070507,318.1669505,1245.112632,1828.051901,730.0887868,1596.008015,203.7457127,186.7668948,288.6397512,277.3205477,203.7457127,172.1651247,186.0311495,250.0412449,389.0977039,254.0029699,460.5218774,277.3205477,215.0649161,254.6821408,169.7880897,118.8516615,181.1072931,532.0026885,4086.232874
20402070601,1594.554743,7349.248285,10790.03367,4309.332015,9420.400108,1202.604298,1102.387242,1703.689381,1636.878052,1202.604298,1016.200604,1098.044511,1475.862631,2296.640082,1499.246579,2718.219595,1636.878052,1269.415627,1503.255345,1002.170225,701.5191602,1068.981586,3140.133397,24118.89438
20402070602,1300.008155,6043.373764,8872.772278,3543.614699,7746.506476,988.9157318,906.5060738,1400.963935,1346.02419,988.9157318,835.6337765,902.9349934,1213.619304,1888.554291,1232.848193,2235.224121,1346.02419,1043.855486,1236.14465,824.0964314,576.8675037,879.0361996,2582.168858,19833.25221
20402070603,971.631611,5555.39952,8156.337272,3257.484314,7121.012174,909.0654032,833.3099325,1287.842621,1237.33901,909.0654032,768.1602488,830.0272044,1115.625205,1736.062349,1133.301449,2054.740206,1237.33901,959.5690226,1136.331734,757.5544891,530.2881409,808.0581187,2373.67076,18231.80951
20402070604,2581.339584,13888.49864,20390.84284,8143.710624,17802.5302,2272.663443,2083.274798,3219.60648,3093.347456,2272.663443,1920.400548,2075.067967,2789.062988,4340.155744,2833.25354,5136.850377,3093.347456,2398.922485,2840.829224,1893.886174,1325.720333,2020.14529,5934.176723,45579.5233
20402070605,519.5283737,2064.506561,3031.071167,1210.551559,2646.322021,337.8283463,309.6759796,478.5901413,459.8219147,337.8283463,285.4649391,308.4560432,414.5904465,645.1582794,421.1593018,763.5858612,459.8219147,356.5965729,422.2854156,281.5236168,197.0665359,300.2918663,882.1073303,6775.334473
20403030101,1876.129426,9609.339629,14108.25883,5634.567314,12317.42633,1572.437407,1441.400938,2227.619614,2140.262021,1572.437407,1328.709568,1435.722712,1929.730073,3002.918564,1960.305146,3554.145146,2140.262021,1659.79502,1965.546709,1310.364495,917.2551465,1397.722141,4105.808789,31536.10266
20403030103,1598.478789,9432.244444,13848.25104,5530.72524,12090.42257,1543.458218,1414.836675,2186.56577,2100.81812,1543.458218,1304.222164,1409.263089,1894.166136,2947.576366,1924.17777,3488.644106,2100.81812,1629.205883,1929.322738,1286.215163,900.3506137,1371.962849,4030.140896,30954.90864
20403030104,2866.611822,13578.41459,19935.58339,7961.888704,17405.05902,2221.922427,2036.762218,3147.723394,3024.283299,2221.922427,1877.524417,2028.738618,2726.792486,4243.254501,2769.996433,5022.161547,3024.283299,2345.36257,2777.402938,1851.602,1296.121391,1975.042138,5801.686269,44561.88468
20403030202,1711.467889,7859.813148,11539.63578,4608.708703,10074.85147,1286.151274,1178.971976,1822.047605,1750.594779,1286.151274,1086.797799,1174.327546,1578.393341,2456.191593,1603.401805,2907.058963,1750.594779,1357.604104,1607.689067,1071.792707,750.2548995,1143.24557,3358.283854,25794.47537
20600050201,1117.957426,4629.499636,6796.947764,2714.570276,5934.176804,757.5545108,694.4249427,1073.202191,1031.115846,757.5545108,640.1335465,691.6893371,929.6876678,1446.718641,944.4178842,1712.283521,1031.115846,799.6408558,946.943128,631.2954111,441.9067869,673.3817701,1978.058974,15193.17457
20801090101,1621.341633,6789.207343,9967.791695,3980.944385,8702.529552,1110.961231,1018.381114,1573.861714,1512.141669,1110.961231,938.7622194,1014.369316,1363.396251,2121.627286,1384.998231,2511.080828,1512.141669,1172.68129,1388.701508,925.8010112,648.0607079,987.5210828,2900.843205,22280.94226
20801090301,1004.510832,4161.939929,6110.485077,2440.410278,5334.850286,681.0447398,624.2909889,964.8133577,926.9775498,681.0447398,575.482794,621.8316677,835.7931786,1300.606235,849.0357141,1539.350196,926.9775498,718.8805478,851.3059211,567.5372705,397.2760882,605.373087,1778.283471,13658.72881
20801090401,1186.288995,5131.569877,7534.078212,3008.966013,6577.739573,839.7114567,769.735479,1189.591201,1142.940583,839.7114567,709.5561628,766.7031934,1030.512499,1603.61558,1046.840205,1897.981031,1142.940583,886.3620752,1049.639308,699.7595327,489.8316747,746.4101729,2192.579891,16840.87768
20801090402,1653.059508,6803.072369,9988.148023,3989.074297,8720.301887,1113.230054,1020.460853,1577.075869,1515.229777,1113.230054,940.6793721,1016.440868,1366.180582,2125.960108,1387.826695,2516.209002,1515.229777,1175.07615,1391.537546,927.6916936,649.3841844,989.5378094,2906.767336,22326.44448
