HUC12,ID,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
20402070401,1,1328.237439,6120.991851,8986.729689,3589.127093,7845.99866,1001.616872,918.1487757,1418.957206,1363.311844,1001.616872,846.3662348,914.5318307,1229.206415,1912.809941,1248.682276,2263.932222,1363.311844,1057.262234,1252.021075,834.6807102,584.276501,890.326101,2615.332919,20087.98042
20402070402,2,1867.06213,9432.662481,13848.8648,5530.970373,12090.95837,1543.526623,1414.899378,2186.662677,2100.911223,1543.526623,1304.279961,1409.325536,1894.250077,2947.707002,1924.26305,3488.798703,2100.911223,1629.278082,1929.40824,1286.27216,900.3905186,1372.023662,4030.319472,30956.28049
20402070403,3,1953.297979,12148.54789,17836.27873,7123.466825,15572.22973,1987.944248,1822.282195,2816.254287,2705.812981,1987.944248,1679.812842,1815.103515,2439.649245,3796.421188,2478.303638,4493.305918,2705.812981,2098.385567,2484.930242,1656.620173,1159.634126,1767.061541,5190.743251,39869.32187
20402070404,4,1703.743493,8501.781157,12482.16168,4985.135403,10897.73781,1391.200596,1275.267186,1970.86746,1893.578568,1391.200596,1175.564477,1270.243417,1707.312198,2656.806614,1734.363275,3144.49959,1893.578568,1468.489503,1739.000704,1159.333807,811.5336624,1236.622728,3632.579299,27901.29758
20402070405,5,1112.679066,4579.257603,6723.183356,2685.110196,5869.775695,749.3330821,686.8886418,1061.555185,1019.925579,749.3330821,633.1864414,684.1827204,919.598157,1431.017995,934.1685119,1693.700814,1019.925579,790.9626881,936.6663487,624.4442245,437.1109592,666.0738451,1956.591926,15028.28948
20402070406,6,621.453162,2434.835843,3574.782025,1427.69922,3121.016855,398.4276977,365.2253754,564.4392215,542.3043574,398.4276977,336.6713974,363.7866134,488.9592896,760.8862058,496.7064921,900.5572155,542.3043574,420.5625619,498.034618,332.0230737,232.4161506,354.1579433,1040.338975,7990.68775
20402070501,7,1516.888179,6778.640959,9952.278217,3974.748611,8688.985238,1109.232182,1016.796141,1571.412222,1509.788236,1109.232182,937.3011671,1012.790585,1361.274311,2118.325282,1382.842683,2507.1727,1509.788236,1170.856168,1386.540205,924.3601327,647.0520976,985.9841539,2896.328441,22246.26501
20402070502,8,1709.98657,7603.458962,11163.26107,4458.391893,9746.251992,1244.202395,1140.518845,1762.620025,1693.497703,1244.202395,1051.350992,1136.025894,1526.912772,2376.080888,1551.105535,2812.242862,1693.497703,1313.324723,1555.25296,1036.835313,725.7847265,1105.957684,3248.750676,24953.16758
20402070503,9,2662.479247,12512.926,18371.252,7337.124893,16039.29622,2047.569743,1876.938909,2900.72376,2786.969928,2047.569743,1730.196387,1869.544917,2512.822994,3910.289317,2552.63676,4628.076125,2786.969928,2161.323594,2559.46213,1706.308097,1194.415675,1820.061995,5346.432104,41065.14448
20402070504,10,799.674269,3362.109333,4936.18821,1971.418681,4309.612871,550.1633634,504.3163981,779.3980752,748.8334557,550.1633634,464.8880314,502.3297028,675.17266,1050.65917,685.8702741,1243.521948,748.8334557,580.727983,687.7041972,458.4694591,320.9286207,489.0340885,1436.537653,11033.83045
20402070505,11,1345.780401,6649.562092,9762.767007,3899.061454,8523.529674,1088.110187,997.4343197,1541.48939,1481.038852,1088.110187,919.4530814,993.5050387,1335.352944,2077.988139,1356.510591,2459.43112,1481.038852,1148.560735,1360.137693,906.7584712,634.7309313,967.2090436,2841.176564,21822.65186
20402070506,12,596.9103936,2840.598758,4170.51581,1665.623842,3641.131136,464.8252679,426.0898124,658.502443,632.6788264,464.8252679,392.7773429,424.4112821,570.4438576,887.6871172,579.4821233,1050.634159,632.6788264,490.6488845,581.0315799,387.3543808,271.1480655,413.1780041,1213.710406,9322.327729
20402070507,13,299.9505604,1196.48173,1756.652885,701.5733926,1533.67204,195.7879279,179.4722594,277.3662231,266.489119,195.7879279,165.4407964,178.7652503,240.2752762,373.900546,244.0822655,442.5350747,266.489119,206.6650321,244.7349095,163.1566026,114.2096208,174.0337074,511.2240284,3926.635111
20402070601,14,1597.956372,7413.505527,10884.37497,4347.010127,9502.766211,1213.119118,1112.025829,1718.585378,1651.189893,1213.119118,1025.085627,1107.645127,1488.766654,2316.720467,1512.355055,2741.986011,1651.189893,1280.514603,1516.398872,1010.932576,707.6528067,1078.328094,3167.588767,24329.77495
20402070602,15,1324.152352,6086.388064,8935.925094,3568.836714,7801.642981,995.9544348,912.9582178,1410.935428,1355.604645,995.9544348,841.5814785,909.3617196,1222.257357,1901.996258,1241.623107,2251.133541,1355.604645,1051.285227,1244.943024,829.962016,580.9734135,885.2928253,2600.547686,19974.4173
20402070603,16,1008.512832,5708.484691,8381.094154,3347.247893,7317.239524,934.1157045,856.2727073,1323.330547,1271.435253,934.1157045,789.3277527,852.8995199,1146.367489,1783.901465,1164.530822,2111.360842,1271.435253,986.0110064,1167.644612,778.4297395,544.9008165,830.3250533,2439.079878,18734.20714
20402070604,17,2621.853647,14084.74976,20678.97523,8258.785151,18054.08848,2304.777266,2112.712468,3265.101061,3137.057935,2304.777266,1947.536729,2104.389673,2828.473782,4401.484224,2873.288769,5209.436532,3137.057935,2432.820412,2880.971501,1920.647693,1344.453394,2048.690908,6018.029485,46223.58378
20402070605,18,667.36952,2769.72844,4066.465211,1624.068042,3550.288262,453.228293,415.4592627,642.0734008,616.8940657,453.228293,382.9778928,413.8226042,556.2118166,865.5401154,565.0245611,1024.421781,616.8940657,478.4076282,566.535351,377.6902378,264.3831714,402.8695978,1183.429417,9089.744263
20403030101,19,1778.628882,9468.31472,13901.20863,5551.875441,12136.65801,1549.360607,1420.247199,2194.927478,2108.851925,1549.360607,1309.209671,1414.652305,1901.4097,2958.848288,1931.536071,3501.98516,2108.851925,1635.436173,1936.700709,1291.133823,903.7936775,1377.209429,4045.552677,31073.28453
20403030103,20,1588.727313,9504.900759,13954.9237,5573.328255,12183.55474,1555.34743,1425.735121,2203.40882,2117.000661,1555.34743,1314.268547,1420.118602,1908.756844,2970.281458,1938.999654,3515.517026,2117.000661,1641.755606,1944.184251,1296.12284,907.2859875,1382.531038,4061.18495,31193.35343
20403030104,21,2734.960859,13034.05616,19136.36619,7642.696706,16707.2905,2132.845595,1955.108454,3021.531213,2903.039829,2132.845595,1802.254495,1947.406522,2617.475424,4073.1425,2658.94732,4820.823179,2903.039829,2251.337025,2666.0569,1777.371308,1244.159906,1895.862729,5569.096762,42775.39944
20403030202,22,1760.660228,8110.309966,11907.41068,4755.590933,10395.94286,1327.141664,1216.546501,1880.117322,1806.387254,1327.141664,1121.434678,1211.75405,1628.697658,2534.471848,1654.503153,2999.708625,1806.387254,1400.871737,1658.927053,1105.951365,774.1659596,1179.681471,3465.314317,26616.56033
20600050201,23,1142.904676,4705.696337,6908.818377,2759.249248,6031.847118,770.0230613,705.8544474,1090.86597,1048.086929,770.0230613,650.669471,703.0738163,944.9893506,1470.530108,959.962009,1740.465907,1048.086929,812.8021027,962.528815,641.6858697,449.1801083,684.4649267,2010.615744,15443.23826
20801090101,24,1558.311625,6540.318747,9602.377937,3835.005152,8383.499593,1070.234006,981.0478212,1516.164808,1456.707387,1070.234006,904.3477141,977.183094,1313.414893,2043.849602,1334.224959,2419.025991,1456.707387,1129.691439,1337.792478,891.861656,624.3031591,951.3191031,2794.499887,21464.13514
20801090301,25,955.1543983,3982.363273,5846.833874,2335.113053,5104.665659,651.6594693,597.3544901,923.1842228,886.9809299,651.6594693,550.652241,595.0012831,799.730922,1244.488533,812.4020784,1472.931325,886.9809299,687.8627621,814.5743327,543.0495451,380.1346797,579.2528446,1701.555263,13069.39092
20801090401,26,1177.332583,5070.596544,7444.558269,2973.213467,6499.582845,829.7340033,760.589479,1175.456474,1129.360159,829.7340033,701.1252152,757.5932238,1018.267945,1584.561417,1034.401646,1875.429216,1129.360159,875.8303189,1037.167492,691.444988,484.0114927,737.5413235,2166.527651,16640.7743
20801090402,27,1659.813806,6876.322261,10095.69219,4032.02537,8814.194931,1125.216399,1031.448337,1594.056526,1531.544526,1125.216399,950.8078336,1027.385068,1380.890492,2148.850698,1402.769671,2543.301471,1531.544526,1187.728404,1406.520477,937.6803149,656.3762197,1000.19234,2938.065017,22566.83729
20801090403,28,1418.853469,6107.086538,8966.314135,3580.973513,7828.174579,999.3414552,916.062979,1415.733696,1360.21475,999.3414552,844.4435063,912.4542505,1226.41398,1908.464526,1245.845587,2258.78915,1360.21475,1054.860403,1249.176799,832.7845304,582.9491752,888.3035084,2609.391553,20042.34573
20402050501,29,4059.501651,19112.7942,28216.05626,11562.29874,24585.46524,3745.418864,2999.099507,4796.315373,4603.468587,3236.314757,2651.553152,2919.574216,3853.426556,5992.445284,3988.698,7051.044788,4279.080146,3371.821334,4310.64703,2836.376669,1988.850812,3036.869992,8794.065649,63251.41016
20600020204,30,6340.154593,9075.376702,15122.48393,9442.883308,12634.62338,8225.644621,2773.369217,6057.398367,5767.639678,2636.529344,1315.208046,2019.093438,1937.411602,2970.927697,2782.885549,3005.368566,2158.731175,2237.752981,6006.368806,3609.25418,2562.261949,3970.32405,10323.8646,33926.2426
20600020205,31,8917.488167,8256.034015,14864.65729,11128.65191,12110.83406,12777.18137,3717.142705,8715.614078,8286.248359,3402.662091,1344.463093,2455.691643,1998.38289,3036.044512,3396.656337,3019.089835,2471.72942,2972.724938,9807.969458,5798.697026,4126.123153,6410.924763,16323.77487,40387.88845
20600020206,32,6652.133964,6581.16904,11664.10037,8446.944904,9550.895603,8495.833674,2535.028295,5869.649852,5581.930163,2336.86302,968.9370334,1705.900867,1437.292923,2188.195505,2357.915947,2056.653499,1630.212561,1896.993257,6014.392721,3566.170319,2536.491012,3939.137629,10068.07347,26398.38898
20600020301,33,8260.702488,7769.096224,13891.69148,10251.67523,11342.92523,10153.60306,2993.783807,6972.839749,6630.237445,2750.758422,1115.56368,1997.414365,1656.317295,2519.246864,2761.741653,2326.249589,1868.155066,2203.628699,7104.659977,4207.442246,2993.133778,4649.256507,11863.96839,30363.25294
20600020401,34,5017.629436,5464.779809,9455.162613,6486.185736,7802.449834,5961.441793,1858.869915,4212.661474,4007.962684,1733.631291,774.5497229,1289.249774,1145.548228,1749.385417,1780.025679,1682.910628,1277.103244,1416.320919,4213.50576,2510.525854,1784.40852,2768.915252,7121.893189,20418.20572
20600020402,35,2861.1505,4345.881728,7090.671588,4175.871057,5966.192131,3230.469503,1169.02626,2472.648947,2356.050826,1129.057428,610.909198,884.9339375,897.5048484,1380.115482,1218.067446,1423.625084,984.1914637,968.2352793,2367.261268,1434.52218,1017.179599,1573.963743,4136.559952,15272.04122
20600050202,36,2915.800465,5309.986787,8424.119192,4553.165815,7156.304086,3100.501284,1254.839115,2529.111921,2412.544537,1239.395113,743.3846317,1002.369348,1088.730056,1679.576958,1377.29087,1818.836674,1211.733008,1127.816277,2455.72102,1505.324604,1065.66962,1645.878984,4387.910329,18561.36564
