"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","parm_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu"
"1029","USGS","01413500","EAST BRANCH DELAWARE RIVER AT MARGARETVILLE NY","ST",42.1447222,-74.6536111,"S","NAD83"," 1301.67",0.01,"NAVD88","02040102","uv","00095",NA,255484,NA,"wat",NA,1646694,0,2019-10-08,2019-12-23,76
"1667","USGS","01414500","MILL BROOK NEAR DUNRAVEN NY","ST",42.1061111,-74.7305556,"S","NAD83"," 1297.22",0.01,"NAVD88","02040102","uv","00095",NA,255609,NA,"wat",NA,1646694,0,2019-10-09,2019-12-23,75
"1800","USGS","01415000","TREMPER KILL NEAR ANDES NY","ST",42.12,-74.8186111,"S","NAD83"," 1285.20",0.01,"NAVD88","02040102","uv","00095",NA,255497,NA,"wat",NA,1646694,0,2019-10-09,2019-12-23,75
"3116","USGS","01423000","WEST BRANCH DELAWARE RIVER AT WALTON NY","ST",42.1661111,-75.14002778,"1","NAD83"," 1189.88",0.01,"NAVD88","02040101","uv","00095",NA,255765,NA,"wat",NA,1646694,0,2019-10-17,2019-12-23,67
"3660","USGS","01427207","DELAWARE RIVER AT LORDVILLE NY","ST",41.86727778,-75.21375,"1","NAD83"," 834.51",0.01,"NAVD88","02040101","uv","00095",NA,250846,NA,"wat",NA,1646694,0,2019-06-13,2019-12-23,193
"3908","USGS","01427510","DELAWARE RIVER AT CALLICOON NY","ST",41.75675,-75.0574167,"1","NAD83"," 734.88",0.01,"NGVD29","02040101","uv","00095",NA,107340,NA,"wat",NA,1646694,0,2012-06-02,2019-12-23,2760
"4800","USGS","01432160","DELAWARE RIVER AT BARRYVILLE NY","ST",41.47536824,-74.91238898,"S","NAD83",NA,NA,NA,"02040104","uv","00095",NA,252872,NA,"wat",NA,1646694,0,2019-08-20,2019-12-23,125
"5672","USGS","01434000","DELAWARE RIVER AT PORT JERVIS NY","ST",41.37055556,-74.6975,"S","NAD83"," 414.71",0.01,"NAVD88","02040104","uv","00095",NA,250889,NA,"wat",NA,1646694,0,2019-06-13,2019-12-23,193
"5755","USGS","0143400680","E BR NEVERSINK R NORTHEAST OF DENNING NY","ST",41.96694444,-74.4480556,"S","NAD83"," 2140.70",0.01,"NAVD88","02040104","uv","00095",NA,254833,NA,"wat",NA,1646694,0,2019-09-27,2019-12-23,87
"5996","USGS","01434021","W BR NEVERSINK R AT WINNISOOK L NR FROST VALLEY NY","ST",42.0111111,-74.4144444,"S","NAD83"," 2675.00",0.01,"NAVD88","02040104","uv","00095",NA,254218,NA,"wat",NA,1646694,0,2019-09-16,2019-12-23,98
"7005","USGS","01436000","NEVERSINK RIVER AT NEVERSINK NY","ST",41.82,-74.6355556,"S","NAD83"," 1253.99",0.01,"NAVD88","02040104","uv","00095",NA,257858,NA,"wat",NA,1646694,0,2019-12-10,2019-12-23,13
"7907","USGS","01438500","Delaware River at Montague NJ","ST",41.30916667,-74.79527778,"S","NAD83"," 369.93",0.01,"NGVD29","02040104","uv","00095",NA,255096,NA,"wat",NA,1646694,0,2019-10-02,2019-12-23,82
"8365","USGS","01439500","Bush Kill at Shoemakers, PA","ST",41.08815078,-75.03767469,"S","NAD83"," 421.13",0.01,"NGVD29","02040104","uv","00095",NA,257413,NA,"wat",NA,1646694,0,2019-11-20,2019-12-23,33
"9144","USGS","01440400","Brodhead Creek near Analomink, PA","ST",41.0848148,-75.2146251,"S","NAD83"," 586.50",0.01,"NGVD29","02040104","uv","00095",NA,257281,NA,"wat",NA,1646694,0,2019-11-21,2019-12-23,32
"9995","USGS","01443500","Paulins Kill at Blairstown NJ","ST",40.9808333,-74.9533333,"S","NAD83"," 335.86",0.01,"NGVD29","02040105","uv","00095",NA,195002,NA,"wat",NA,1646694,0,2009-09-02,2010-07-06,307
"10647","USGS","01446500","Delaware River at Belvidere NJ","ST",40.82638889,-75.0825,"S","NAD83"," 226.43",0.01,"NGVD29","02040105","uv","00095",NA,245891,NA,"wat",NA,1646694,0,2019-03-13,2019-12-23,285
"11445","USGS","01451500","Little Lehigh Creek near Allentown, PA","ST",40.5823197,-75.48296088,"S","NAD83"," 253.41",0.01,"NGVD29","02040106","uv","00095",NA,254905,NA,"wat",NA,1646694,0,2019-10-10,2019-12-23,74
"11459","USGS","01451650","Little Lehigh Creek at Tenth St. Br. at Allentown","ST",40.59648637,-75.4740717,"S","NAD83"," 245.63",0.01,"NGVD29","02040106","uv","00095",NA,254897,NA,"wat",NA,1646694,0,2019-10-11,2019-12-23,73
"12026","USGS","01451800","Jordan Creek near Schnecksville, PA","ST",40.66176219,-75.626854,"S","NAD83"," 381.16",0.01,"NGVD29","02040106","uv","00095",NA,254921,NA,"wat",NA,1646694,0,2019-10-11,2019-12-23,73
"13038","USGS","01454700","Lehigh River at Glendon, PA","ST",40.6692656,-75.23628808,"S","NAD83"," 164.30",NA,"NGVD29","02040106","uv","00095",NA,121293,NA,"wat",NA,1646694,0,2010-07-29,2019-11-01,3382
"13912","USGS","01458500","Delaware River at Frenchtown NJ","ST",40.5261111,-75.065,"S","NAD83"," 99.88",0.01,"NGVD29","02040105","uv","00095",NA,222686,NA,"wat",NA,1646694,0,2014-10-01,2019-12-23,1909
"16123","USGS","01463500","Delaware River at Trenton NJ","ST",40.22166667,-74.7780556,"S","NAD83"," 0.00",0.01,"NGVD29","02040105","uv","00095",NA,195097,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"17930","USGS","01465500","Neshaminy Creek near Langhorne, PA","ST",40.1739982,-74.9568342,"S","NAD83"," 40.57",0.1,"NGVD29","02040201","uv","00095",NA,243556,NA,"wat",NA,1646694,0,2018-12-14,2019-12-23,374
"17989","USGS","01465798","Poquessing Creek at Grant Ave. at Philadelphia, PA","ST",40.05705567,-74.9851694,"S","NAD83"," 2.68",0.1,"NGVD29","02040202","uv","00095",NA,121330,NA,"wat",NA,1646694,0,2019-08-25,2019-12-03,100
"18193","USGS","01465850","South Branch Rancocas Creek at Vincentown NJ","ST",39.94,-74.7630556,"S","NAD83"," 13.17",0.01,"NGVD29","02040202","uv","00095",NA,257080,NA,"wat",NA,1646694,0,2019-11-14,2019-12-23,39
"18876","USGS","01466500","McDonalds Branch in Byrne State Forest NJ","ST",39.885,-74.50527778,"S","NAD83"," 117.73",0.02,"NGVD29","02040202","uv","00095",NA,255611,NA,"wat",NA,1646694,0,2019-10-09,2019-12-23,75
"19201","USGS","01466900","Greenwood Branch at New Lisbon NJ","ST",39.9561111,-74.62777778,"S","NAD83"," 34.18",0.01,"NAVD88","02040202","uv","00095",NA,257004,NA,"wat",NA,1646694,0,2019-11-12,2019-12-23,41
"19975","USGS","01467042","Pennypack Creek at Pine Road, at Philadelphia, PA","ST",40.08983289,-75.0690611,"S","NAD83"," 80.41",0.1,"NGVD29","02040202","uv","00095",NA,121361,NA,"wat",NA,1646694,0,2019-08-25,2019-12-03,100
"20046","USGS","01467048","Pennypack Cr at Lower Rhawn St Bdg, Phila., PA","ST",40.05011137,-75.0326713,"S","NAD83"," 21.27",0.1,"NGVD29","02040202","uv","00095",NA,121370,NA,"wat",NA,1646694,0,2019-08-25,2019-12-03,100
"20447","USGS","01467081","South Branch Pennsauken Creek at Cherry Hill NJ","ST",39.94166667,-75.0011111,"S","NAD83"," 8.12",0.01,"NGVD29","02040202","uv","00095",NA,256698,NA,"wat",NA,1646694,0,2019-11-07,2019-12-23,46
"20517","USGS","01467086","Tacony Creek ab Adams Avenue, Philadelphia, PA","ST",40.04261157,-75.1121191,"S","NAD83"," 61.11",0.1,"NGVD29","02040203","uv","00095",NA,121379,NA,"wat",NA,1646694,0,2019-08-25,2019-12-03,100
"20593","USGS","01467087","Frankford Creek at Castor Ave, Philadelphia, PA","ST",40.0159454,-75.0968411,"S","NAD83"," 16.56",0.1,"NGVD29","02040202","uv","00095",NA,121387,NA,"wat",NA,1646694,0,2019-02-14,2019-12-23,312
