"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","parm_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu"
"52289","USGS","01408000","Manasquan River at Squankum NJ","ST",40.16138889,-74.1547222,"S","NAD83"," 18.82",".02","NGVD29","02040301","uv","00095",NA,194785,NA,"wat",NA,1646694,0,2014-12-16,2019-12-23,1833
"53226","USGS","01408029","Manasquan River near Allenwood NJ","ST",40.14666667,-74.1222222,"S","NAD83"," 0.00",".01","NGVD29","02040301","uv","00095",NA,194793,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"58799","USGS","01408500","Toms River near Toms River NJ","ST",39.98638889,-74.2233333,"S","NAD83"," 8.10",".01","NGVD29","02040301","uv","00095",NA,194821,NA,"wat",NA,1646694,0,2011-09-23,2014-09-30,1103
"97619","USGS","01413500","EAST BRANCH DELAWARE RIVER AT MARGARETVILLE NY","ST",42.1447222,-74.6536111,"S","NAD83"," 1301.67",".01","NAVD88","02040102","uv","00095",NA,255484,NA,"wat",NA,1646694,0,2019-10-08,2019-12-23,76
"99705","USGS","01414500","MILL BROOK NEAR DUNRAVEN NY","ST",42.1061111,-74.7305556,"S","NAD83"," 1297.22",".01","NAVD88","02040102","uv","00095",NA,255609,NA,"wat",NA,1646694,0,2019-10-09,2019-12-23,75
"100374","USGS","01415000","TREMPER KILL NEAR ANDES NY","ST",42.12,-74.8186111,"S","NAD83"," 1285.20",".01","NAVD88","02040102","uv","00095",NA,255497,NA,"wat",NA,1646694,0,2019-10-09,2019-12-23,75
"104730","USGS","01423000","WEST BRANCH DELAWARE RIVER AT WALTON NY","ST",42.1661111,-75.14002778,"1","NAD83"," 1189.88",".01","NAVD88","02040101","uv","00095",NA,255765,NA,"wat",NA,1646694,0,2019-10-17,2019-12-23,67
"106887","USGS","01427207","DELAWARE RIVER AT LORDVILLE NY","ST",41.86727778,-75.21375,"1","NAD83"," 834.51",".01","NAVD88","02040101","uv","00095",NA,250846,NA,"wat",NA,1646694,0,2019-06-13,2019-12-23,193
"111002","USGS","01433500","MONGAUP RIVER NEAR MONGAUP NY","ST",41.4612222,-74.75877778,"1","NAD83"," 623.49",".01","NAVD88","02040104","uv","00095",NA,107364,NA,"wat",NA,1646694,0,2013-10-01,2019-12-23,2274
"111908","USGS","01434000","DELAWARE RIVER AT PORT JERVIS NY","ST",41.37055556,-74.6975,"S","NAD83"," 414.71",".01","NAVD88","02040104","uv","00095",NA,250889,NA,"wat",NA,1646694,0,2019-06-13,2019-12-23,193
"112178","USGS","0143400680","E BR NEVERSINK R NORTHEAST OF DENNING NY","ST",41.96694444,-74.4480556,"S","NAD83"," 2140.70",".01","NAVD88","02040104","uv","00095",NA,254833,NA,"wat",NA,1646694,0,2019-09-27,2019-12-23,87
"112806","USGS","01434021","W BR NEVERSINK R AT WINNISOOK L NR FROST VALLEY NY","ST",42.0111111,-74.4144444,"S","NAD83"," 2675.00",".01","NAVD88","02040104","uv","00095",NA,254218,NA,"wat",NA,1646694,0,2019-09-16,2019-12-23,98
"114822","USGS","01436000","NEVERSINK RIVER AT NEVERSINK NY","ST",41.82,-74.6355556,"S","NAD83"," 1253.99",".01","NAVD88","02040104","uv","00095",NA,257858,NA,"wat",NA,1646694,0,2019-12-10,2019-12-23,13
"115106","USGS","01437400","BASHER KILL AT CUDDEBACKVILLE NY","ST",41.45342667,-74.58849408,"S","NAD83",NA,NA,NA,"02040104","uv","00095",NA,255825,NA,"wat",NA,1646694,0,2019-10-19,2019-12-23,65
"116912","USGS","01438500","Delaware River at Montague NJ","ST",41.30916667,-74.79527778,"S","NAD83"," 369.93",".01","NGVD29","02040104","uv","00095",NA,255096,NA,"wat",NA,1646694,0,2019-10-02,2019-12-23,82
"118699","USGS","01439500","Bush Kill at Shoemakers, PA","ST",41.08815078,-75.03767469,"S","NAD83"," 421.13",".01","NGVD29","02040104","uv","00095",NA,257413,NA,"wat",NA,1646694,0,2019-11-20,2019-12-23,33
"119911","USGS","01440400","Brodhead Creek near Analomink, PA","ST",41.0848148,-75.2146251,"S","NAD83"," 586.50",".01","NGVD29","02040104","uv","00095",NA,257281,NA,"wat",NA,1646694,0,2019-11-21,2019-12-23,32
"122211","USGS","01443500","Paulins Kill at Blairstown NJ","ST",40.9808333,-74.9533333,"S","NAD83"," 335.86",".01","NGVD29","02040105","uv","00095",NA,195002,NA,"wat",NA,1646694,0,2009-09-02,2010-07-06,307
"125964","USGS","01446500","Delaware River at Belvidere NJ","ST",40.82638889,-75.0825,"S","NAD83"," 226.43",".01","NGVD29","02040105","uv","00095",NA,245891,NA,"wat",NA,1646694,0,2019-03-13,2019-12-23,285
"129775","USGS","01451380","Little Lehigh Creek near Trexlertown, PA","ST",40.53120755,-75.60046519,"S","NAD83",NA,NA,NA,"02040106","uv","00095",NA,256547,NA,"wat",NA,1646694,0,2019-11-12,2019-12-23,41
"130430","USGS","01451500","Little Lehigh Creek near Allentown, PA","ST",40.5823197,-75.48296088,"S","NAD83"," 253.41",".01","NGVD29","02040106","uv","00095",NA,254905,NA,"wat",NA,1646694,0,2019-10-10,2019-12-23,74
"131878","USGS","01451800","Jordan Creek near Schnecksville, PA","ST",40.66176219,-75.626854,"S","NAD83"," 381.16",".01","NGVD29","02040106","uv","00095",NA,254921,NA,"wat",NA,1646694,0,2019-10-11,2019-12-23,73
"134384","USGS","01454700","Lehigh River at Glendon, PA","ST",40.6692656,-75.23628808,"S","NAD83"," 164.30","  5","NGVD29","02040106","uv","00095",NA,121293,NA,"wat",NA,1646694,0,2010-07-29,2019-11-01,3382
"139000","USGS","01458500","Delaware River at Frenchtown NJ","ST",40.5261111,-75.065,"S","NAD83"," 99.88",".01","NGVD29","02040105","uv","00095",NA,222686,NA,"wat",NA,1646694,0,2014-10-01,2019-12-23,1909
"147217","USGS","01463500","Delaware River at Trenton NJ","ST",40.22166667,-74.7780556,"S","NAD83"," 0.00",".01","NGVD29","02040105","uv","00095",NA,195097,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"152417","USGS","01464290","Crosswicks Ck at Hockamik Rd near Cookstown NJ","ST",40.0361111,-74.5361111,"S","NAD83",NA,NA,NA,"02040201","uv","00095",NA,256022,NA,"wat",NA,1646694,0,2009-06-09,2019-12-23,3849
"161966","USGS","01465500","Neshaminy Creek near Langhorne, PA","ST",40.1739982,-74.9568342,"S","NAD83"," 40.57","0.1","NGVD29","02040201","uv","00095",NA,243556,NA,"wat",NA,1646694,0,2018-12-14,2019-12-23,374
"162250","USGS","01465798","Poquessing Creek at Grant Ave. at Philadelphia, PA","ST",40.05705567,-74.9851694,"S","NAD83"," 2.68","0.1","NGVD29","02040202","uv","00095",NA,121330,NA,"wat",NA,1646694,0,2019-08-25,2019-12-03,100
"163587","USGS","01465850","South Branch Rancocas Creek at Vincentown NJ","ST",39.94,-74.7630556,"S","NAD83"," 13.17",".01","NGVD29","02040202","uv","00095",NA,257080,NA,"wat",NA,1646694,0,2019-11-14,2019-12-23,39
"168855","USGS","01466500","McDonalds Branch in Byrne State Forest NJ","ST",39.885,-74.50527778,"S","NAD83"," 117.73",".02","NGVD29","02040202","uv","00095",NA,255611,NA,"wat",NA,1646694,0,2019-10-09,2019-12-23,75
"169218","USGS","01466900","Greenwood Branch at New Lisbon NJ","ST",39.9561111,-74.62777778,"S","NAD83"," 34.18",".01","NAVD88","02040202","uv","00095",NA,257004,NA,"wat",NA,1646694,0,2019-11-12,2019-12-23,41
"171461","USGS","01467024","Rancocas Creek at Bridgeboro NJ","ST-TS",40.02916667,-74.9316667,"S","NAD83",NA,NA,NA,"02040202","uv","00095",NA,254797,NA,"wat",NA,1646694,0,2019-09-25,2019-12-23,89
"171703","USGS","01467029","Delaware River div at Delran NJ","FA-DV",40.0311111,-74.9922222,"M","NAD83"," 15"," 10","NGVD29","02040202","uv","00095",NA,195141,NA,"wat",NA,1646694,0,2008-09-05,2011-09-29,1119
"172391","USGS","01467042","Pennypack Creek at Pine Road, at Philadelphia, PA","ST",40.08983289,-75.0690611,"S","NAD83"," 80.41","0.1","NGVD29","02040202","uv","00095",NA,121361,NA,"wat",NA,1646694,0,2019-08-25,2019-12-03,100
"172499","USGS","01467048","Pennypack Cr at Lower Rhawn St Bdg, Phila., PA","ST",40.05011137,-75.0326713,"S","NAD83"," 21.27","0.1","NGVD29","02040202","uv","00095",NA,121370,NA,"wat",NA,1646694,0,2019-08-25,2019-12-03,100
"174029","USGS","01467081","South Branch Pennsauken Creek at Cherry Hill NJ","ST",39.94166667,-75.0011111,"S","NAD83"," 8.12",".01","NGVD29","02040202","uv","00095",NA,256698,NA,"wat",NA,1646694,0,2019-11-07,2019-12-23,46
"174679","USGS","01467086","Tacony Creek ab Adams Avenue, Philadelphia, PA","ST",40.04261157,-75.1121191,"S","NAD83"," 61.11","0.1","NGVD29","02040203","uv","00095",NA,121379,NA,"wat",NA,1646694,0,2019-08-25,2019-12-03,100
"174755","USGS","01467087","Frankford Creek at Castor Ave, Philadelphia, PA","ST",40.0159454,-75.0968411,"S","NAD83"," 16.56","0.1","NGVD29","02040202","uv","00095",NA,121387,NA,"wat",NA,1646694,0,2019-02-14,2019-12-23,312
"176964","USGS","01467200","Delaware R at Ben Franklin Bridge at Philadelphia","ST",39.95400165,-75.1373987,"S","NAD83",NA,NA,NA,"02040202","uv","00095",NA,121393,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"183519","USGS","01468500","Schuylkill River at Landingville, PA","ST",40.6292577,-76.1246622,"S","NAD83"," 470.64",".01","NGVD29","02040203","uv","00095",NA,121430,NA,"wat",NA,1646694,0,2013-09-21,2019-12-23,2284
"198815","USGS","01473000","Perkiomen Creek at Graterford, PA","ST",40.22954725,-75.451567,"S","NAD83"," 112.66",".01","NGVD29","02040203","uv","00095",NA,246642,NA,"wat",NA,1646694,0,2018-11-29,2019-12-23,389
"200370","USGS","01473169","Valley Creek at PA Turnpike Br near Valley Forge","ST",40.07927367,-75.46074808,"S","NAD83"," 108.62",".10","NGVD29","02040203","uv","00095",NA,243576,NA,"wat",NA,1646694,0,2018-10-01,2019-12-23,448
"201411","USGS","01473500","Schuylkill River at Norristown, PA","ST",40.11121934,-75.3468502,"S","NAD83"," 51",".10","NGVD29","02040203","uv","00095",NA,121514,NA,"wat",NA,1646694,0,2012-02-23,2019-12-09,2846
"201821","USGS","01473900","Wissahickon Creek at Fort Washington, PA","ST",40.1239987,-75.2198992,"S","NAD83"," 139.98"," .1","NGVD29","02040203","uv","00095",NA,121524,NA,"wat",NA,1646694,0,2019-08-25,2019-12-05,102
"202443","USGS","01474000","Wissahickon Creek at Mouth, Philadelphia, PA","ST",40.01539,-75.2068459,"S","NAD83"," 26.41",".10","NGVD29","02040203","uv","00095",NA,121533,NA,"wat",NA,1646694,0,2019-08-26,2019-12-04,100
"203834","USGS","01474500","Schuylkill River at Philadelphia, PA","ST",39.9678905,-75.1885123,"S","NAD83"," 5.74",".10","NGVD29","02040203","uv","00095",NA,121541,NA,"wat",NA,1646694,0,2018-10-01,2019-12-23,448
"203857","USGS","01474703","Delaware River at Fort Mifflin at Philadelphia, PA","ST",39.8792798,-75.20268029,"S","NAD83",NA,NA,NA,"02040202","uv","00095",NA,121553,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"205801","USGS","01475530","Cobbs Cr at U.S. Hghwy No. 1 at Philadelphia, PA","ST",39.97483455,-75.2799067,"S","NAD83"," 121.76",".10","NGVD29","02040202","uv","00095",NA,121560,NA,"wat",NA,1646694,0,2018-10-01,2019-12-04,429
"214674","USGS","01478120","East Branch White Clay Creek at Avondale, PA","ST",39.8284429,-75.780773,"S","NAD83"," 270.00"," 10","NGVD29","02040205","uv","00095",NA,257056,NA,"wat",NA,1646694,0,2019-11-14,2019-12-23,39
"214747","USGS","01478137","Trout Run at Avondale, PA","ST",39.8217764,-75.7791061,"U","NAD83"," 270"," 10","NGVD29","02040205","uv","00095",NA,257054,NA,"wat",NA,1646694,0,2019-12-04,2019-12-23,19
"215869","USGS","01478245","White Clay Creek near Strickersville, PA","ST",39.7475,-75.7708333,"1","NAD83"," 120"," 10","NGVD29","02040205","uv","00095",NA,254854,NA,"wat",NA,1646694,0,2019-10-01,2019-12-23,83
"216127","USGS","01478650","WHITE CLAY CREEK AT NEWARK, DE","ST",39.6892222,-75.74875,"S","NAD83"," 55.31"," .1","NAVD88","02040205","uv","00095",NA,254322,NA,"wat",NA,1646694,0,2019-09-19,2019-12-23,95
"216373","USGS","01479000","WHITE CLAY CREEK NEAR NEWARK, DE","ST",39.6992222,-75.67502778,"S","NAD83"," 7.86"," .1","NAVD88","02040205","uv","00095",NA,239815,NA,"wat",NA,1646694,0,2018-10-18,2019-12-23,431
"220909","USGS","01480617","West Branch Brandywine Creek at Modena, PA","ST",39.9617734,-75.8013341,"S","NAD83"," 262.52"," .1","NAVD88","02040205","uv","00095",NA,121648,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"227888","USGS","01480870","East Branch Brandywine Creek below Downingtown, PA","ST",39.9687191,-75.6732715,"S","NAD83"," 195"," 10","NGVD29","02040205","uv","00095",NA,121672,NA,"wat",NA,1646694,0,2007-10-01,2019-12-10,4453
"230793","USGS","01481500","BRANDYWINE CREEK AT WILMINGTON, DE","ST",39.7695,-75.5766944,"1","NAD83"," 67.17"," .1","NAVD88","02040205","uv","00095",NA,69393,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"233293","USGS","01482800","Delaware River at Reedy Island Jetty, DE","ES",39.5009454,-75.5682589,"S","NAD83",NA,NA,NA,"02040205","uv","00095",NA,121688,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"235109","USGS","01484100","BEAVERDAM BRANCH AT HOUSTON, DE","ST",38.90577778,-75.51275,"S","NAD83"," 34.87"," .1","NAVD88","02040207","uv","00095",NA,254192,NA,"wat",NA,1646694,0,2019-09-18,2019-12-23,96
"237267","USGS","01487150","BUCKS BRANCH NEAR ATLANTA, DE","ST",38.6914722,-75.63488889,"1","NAD83"," 24.23",".01","NAVD88","02080109","uv","00095",NA,69494,NA,"wat",NA,1646694,0,2014-02-20,2015-08-25,551
"261156","USGS","01572950","Indiantown Run near Harper Tavern, PA","ST",40.43897778,-76.59829919,"S","NAD83",NA,NA,NA,"02050305","uv","00095",NA,122096,NA,"wat",NA,1646694,0,2016-12-23,2017-08-17,237
"265212","USGS","01576000","Susquehanna River at Marietta, PA","ST",40.0545413,-76.5307992,"S","NAD83"," 200.56"," 10","NGVD29","02050306","uv","00095",NA,122157,NA,"wat",NA,1646694,0,2015-05-04,2018-07-23,1176
"267377","USGS","015765195","Big Spring Run near Mylin Corners, PA","ST",39.9959361,-76.26403889,"S","NAD83"," 305","  2","NAVD88","02050306","uv","00095",NA,170022,NA,"wat",NA,1646694,0,2016-04-13,2019-12-23,1349
"271186","USGS","01576980","Susquehanna River at Holtwood Dam at Holtwood, PA","ST",39.82788027,-76.33329279,"U","NAD83",NA,NA,NA,"02050306","uv","00095",NA,122192,NA,"wat",NA,1646694,0,2015-04-15,2018-10-24,1288
"309196","USGS","384428075355701","Oc15-11","GW",38.741075,-75.5990417,"1","NAD83"," 41.56","  1","NGVD29","02080109","uv","00095",NA,70120,NA,"wat",NA,1646694,0,2014-06-04,2019-05-16,1807
"310831","USGS","384526075091601","Ni51-32","GW",38.7573222,-75.1544194,"1","NAD83"," 13.81","  1","NGVD29","02040207","uv","00095",NA,70125,NA,"wat",NA,1646694,0,2014-11-28,2019-03-07,1560
"312861","USGS","384637075153201","Ng45-02","GW",38.77706667,-75.2588667,"H","NAD83"," 16","  5","NGVD29","02040207","uv","00095",NA,70131,NA,"wat",NA,1646694,0,2014-04-01,2019-12-23,2092
"312862","USGS","384637075153201","Ng45-02","GW",38.77706667,-75.2588667,"H","NAD83"," 16","  5","NGVD29","02040207","uv","00095",NA,70137,NA,"wat",NA,1646694,0,2014-06-01,2019-12-23,2031
